0,1,2,3,4
"Bitumen prices at key locations, 16-22 Mar","Bitumen prices at key locations, 16-22 Mar","Bitumen prices at key locations, 16-22 Mar","Bitumen prices at key locations, 16-22 Mar",$/t ±
,,Low,High,$/t ±
Export cargo prices fob,Export cargo prices fob,,,
Mediterranean,,445.43,449.77,+29.05
Rotterdam,,482.15,487.15,+26.00
Baltic,,470.15,474.15,+26.00
Singapore,,383.00,408.60,-6.70
South Korea,,400.00,407.00,-5.00
Mideast Gulf,,283.50,380.00,+9.75
Delivered cargo prices cfr,Delivered cargo prices cfr,,,
North Africa,"Alexandria, bulk",491.00,501.00,+32.00
East Africa,"Mombasa, drum",430.00,440.00,+2.00
West Africa,"Lagos, bulk",633.00,643.00,+29.00
East China coast,,435.00,450.00,+5.00
Domestic prices,,,,
Antwerp,ex-works,576,587,+2.00
Southern Germany,ex-works,522,533,-3.00
Hungary,ex-works,571,582,-3.00
Italy,ex-works inc tax,549,560,+8.00
Indonesia,ex-works,587.00,587.00,-3.00
Mumbai,bulk,499.00,502.00,-8.50
