0,1,2,3
"Bitumen freight, 16-22 Mar",,,$/t
Singapore-east Australia,160.0,180.0,nc
Singapore-west Australia,120.0,130.0,nc
"Singapore-Gresik, Indonesia",40.0,45.0,nc
Singapore-north Vietnam,55.0,60.0,+0.50
Singapore-south Vietnam,38.0,43.0,nc
Singapore-south China,50.0,60.0,nc
Thailand-south China,50.0,60.0,nc
Thailand-east Australia,160.0,180.0,nc
Thailand-west Australia,125.0,130.0,nc
"Taiwan-Haiphong, Vietnam",45.0,50.0,nc
South Korea-east China,30.0,39.0,nc
"South China-Haiphong, Vietnam",30.0,35.0,nc
